Entrez ID	Symbol	Type	Entrez.ID
57665	RDH14	best inferred	57665
10970	CKAP4	best inferred	10970
55009	C19orf24	best inferred	55009
55008	HERC6	landmark	55008
10972	TMED10	landmark	10972
56339	METTL3	best inferred	56339
10971	YWHAQ	best inferred	10971
10974	ADIRF	best inferred	10974
10973	ASCC3	landmark	10973
112479	ERI2	best inferred	112479
55010	PARPBP	best inferred	55010
83937	RASSF4	best inferred	83937
10987	COPS5	best inferred	10987
55014	STX17	best inferred	55014
55013	MCUB	best inferred	55013
10989	IMMT	best inferred	10989
55012	PPP2R3C	landmark	55012
10988	METAP2	best inferred	10988
55011	PIH1D1	landmark	55011
55016	MARCH1	best inferred	55016
83941	TM2D1	best inferred	83941
55015	PRPF39	best inferred	55015
10981	RAB32	best inferred	10981
10980	COPS6	best inferred	10980
10983	CCNI	best inferred	10983
10982	MAPRE2	best inferred	10982
10985	GCN1	best inferred	10985
22933	SIRT2	best inferred	22933
22934	RPIA	landmark	22934
22936	ELL2	best inferred	22936
22937	SCAP	best inferred	22937
22938	SNW1	best inferred	22938
112464	PRKCDBP	best inferred	112464
57680	CHD8	best inferred	57680
55020	TTC38	best inferred	55020
22930	RAB3GAP1	best inferred	22930
10954	PDIA5	landmark	10954
10953	TOMM34	landmark	10953
55024	BANK1	best inferred	55024
10956	OS9	best inferred	10956
55023	PHIP	best inferred	55023
10955	SERINC3	best inferred	10955
55022	PID1	best inferred	55022
10957	PNRC1	best inferred	10957
55028	C17orf80	best inferred	55028
55027	HEATR3	best inferred	55027
10959	TMED2	best inferred	10959
55026	TMEM255A	best inferred	55026
22929	SEPHS1	best inferred	22929
10950	BTG3	best inferred	10950
10952	SEC61B	best inferred	10952
10951	CBX1	best inferred	10951
22943	DKK1	best inferred	22943
22944	KIN	best inferred	22944
22948	CCT5	best inferred	22948
55032	SLC35A5	best inferred	55032
55031	USP47	best inferred	55031
22941	SHANK2	best inferred	22941
55030	FBXO34	best inferred	55030
10964	IFI44L	best inferred	10964
55035	NOL8	best inferred	55035
55034	MOCOS	best inferred	55034
10966	RAB40B	best inferred	10966
55033	FKBP14	landmark	55033
10969	EBNA1BP2	landmark	10969
55039	TRMT12	best inferred	55039
55038	CDCA4	landmark	55038
55037	PTCD3	best inferred	55037
57698	SHTN1	best inferred	57698
113791	PIK3IP1	best inferred	113791
10961	ERP29	best inferred	10961
10960	LMAN2	best inferred	10960
10963	STIP1	best inferred	10963
10962	MLLT11	landmark	10962
147179	WIPF2	landmark	147179
474344	GIMAP6	best inferred	474344
135138	PACRG	best inferred	135138
57602	USP36	best inferred	57602
57608	KIAA1462	best inferred	57608
57613	FAM234B	best inferred	57613
57610	RANBP10	best inferred	57610
221443	OARD1	best inferred	221443
257407	C2orf72	best inferred	257407
220134	SKA1	best inferred	220134
221472	FGD2	best inferred	221472
9311	ASIC3	best inferred	9311
9310	ZNF235	best inferred	9310
9315	NREP	best inferred	9315
9314	KLF4	best inferred	9314
9308	CD83	best inferred	9308
9306	SOCS6	best inferred	9306
9322	TRIP10	best inferred	9322
9320	TRIP12	best inferred	9320
9321	TRIP11	best inferred	9321
9326	ZNHIT3	best inferred	9326
9324	HMGN3	best inferred	9324
9325	TRIP4	best inferred	9325
9319	TRIP13	best inferred	9319
9317	PTER	best inferred	9317
9318	COPS2	best inferred	9318
